Dataset entry number,ReactionClass,SCREEN_ID,NOTEBOOK_ID,REACTION_ID,KeyWord_STD,ReactionGroup,RXN_SMILES,PCAT_CMPD_ID,PRODUCT_STRUCTURE,Product_Yield_PCT_Area_UV,Product_UV_Analysis_Wavelength_nm,Product_Yield_Mass_Ion_Count,Product_Selectivity,Solvent_1_Name,Reaction_T,Reaction_Time_hrs,Catalyst_1_eq,Catalyst_1_ID[1],catalyst_1_ID_1_SMILES,Catalyst_1_ID[2],catalyst_1_ID_2_SMILES,Catalyst_1_Short_Hand,Catalyst_2_eq,Catalyst_2_ID[1],catalyst_2_ID_1_SMILES,Catalyst_2_ID[2],catalyst_2_ID_2_SMILES,Catalyst_2_Short_Hand,Reactant_1_eq,Reactant_1_ID,Reactant_1_SMILES,Reactant_2_eq,Reactant_2_ID,reactant_2_SMILES,Reactant_3_eq,Reactant_3_ID,reactant_3_SMILES,Reagent_1_eq,Reagent_1_ID,Reagent_1_Short_Hand,Reagent_2_eq,Reagent_2_ID,Reagent_2_Short_Hand,yie_react
38539,Pd coupling,SCRN_100,00119131-2462,RKB-03773618,BUCHWALD,Metal Mediated,[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][nH:8][cH:7]1)=[O:5].Br[c:12]1[cH:21][c:20]([c:15]2[cH:14][cH:13]1)[cH:19][cH:18][cH:17][n:16]2>>[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][n:8]([c:12]2[cH:21][c:20]([c:15]3[cH:14][cH:13]2)[cH:19][cH:18][cH:17][n:16]3)[cH:7]1)=[O:5],PF-07036396,CCOC(=O)c1cn(nc1O)c2ccc3ncccc3c2,0,225.0,0.0,,Dioxane,90.0,18.0,,,,MFCD22572666,c1(c(c(ccc1OC)OC)P(C1CCCCC1)C1CCCCC1)c1c(cc(cc1C(C)C)C(C)C)C(C)C.c1(ccccc1c1ccccc1N)[Pd+].[O-]S(C)(=O)=O,,0.125,MFCD22572666,c1(c(c(ccc1OC)OC)P(C1CCCCC1)C1CCCCC1)c1c(cc(cc1C(C)C)C(C)C)C(C)C.c1(ccccc1c1ccccc1N)[Pd+].[O-]S(C)(=O)=O,,,3G OMs BrettPhos,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,,MFCD00024023,c12c(ccc(c1)Br)nccc2,,,,3.0,MFCD00036295,K3PO4,,,,0__PF-01041290__MFCD00024023__
38540,Pd coupling,SCRN_100,00119131-2462,RKB-03773619,BUCHWALD,Metal Mediated,Br[c:1]1[cH:10][c:9]([c:4]2[cH:3][cH:2]1)[cH:8][cH:7][cH:6][n:5]2.[CH3:11][CH2:12][O:13][C:14]([c:16]1[c:20]([OH:21])[n:19][nH:18][cH:17]1)=[O:15]>>[CH3:11][CH2:12][O:13][C:14]([c:16]1[c:20]([OH:21])[n:19][n:18]([c:1]2[cH:10][c:9]([c:4]3[cH:3][cH:2]2)[cH:8][cH:7][cH:6][n:5]3)[cH:17]1)=[O:15],PF-07036396,CCOC(=O)c1cn(nc1O)c2ccc3ncccc3c2,0,225.0,0.0,,Dioxane,90.0,18.0,,,,,,,0.125,,,,,3G OMs RockPhos,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,,MFCD00024023,c12c(ccc(c1)Br)nccc2,,,,3.0,MFCD00036295,K3PO4,,,,0__PF-01041290__MFCD00024023__
38541,Pd coupling,SCRN_100,00119131-2462,RKB-03773620,BUCHWALD,Metal Mediated,[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][nH:8][cH:7]1)=[O:5].Br[c:12]1[cH:21][c:20]([c:15]2[cH:14][cH:13]1)[cH:19][cH:18][cH:17][n:16]2>>[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][n:8]([c:12]2[cH:21][c:20]([c:15]3[cH:14][cH:13]2)[cH:19][cH:18][cH:17][n:16]3)[cH:7]1)=[O:5],PF-07036396,CCOC(=O)c1cn(nc1O)c2ccc3ncccc3c2,0,225.0,0.0,,Dioxane,90.0,18.0,,,,,,,0.125,MFCD25976528,c1c(c(ccc1)[Pd+])c1ccccc1N.[O-]S(C)(=O)=O.c1c(c(c(cc1C(C)C)C(C)C)c1c(ccc(c1P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,,,tBuBrettPhos  Pd G3,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,,MFCD00024023,c12c(ccc(c1)Br)nccc2,,,,3.0,MFCD00036295,K3PO4,,,,0__PF-01041290__MFCD00024023__
38542,Pd coupling,SCRN_100,00119131-2462,RKB-03773621,BUCHWALD,Metal Mediated,[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][nH:8][cH:7]1)=[O:5].Br[c:12]1[cH:21][c:20]([c:15]2[cH:14][cH:13]1)[cH:19][cH:18][cH:17][n:16]2>>[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][n:8]([c:12]2[cH:21][c:20]([c:15]3[cH:14][cH:13]2)[cH:19][cH:18][cH:17][n:16]3)[cH:7]1)=[O:5],PF-07036396,CCOC(=O)c1cn(nc1O)c2ccc3ncccc3c2,0,225.0,0.0,,Dioxane,90.0,18.0,,,,,,,0.125,46-0388,,,,Xantphos Pd G4,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,,MFCD00024023,c12c(ccc(c1)Br)nccc2,,,,3.0,MFCD00036295,K3PO4,,,,0__PF-01041290__MFCD00024023__
38543,Pd coupling,SCRN_100,00119131-2462,RKB-03773622,BUCHWALD,Metal Mediated,Br[c:1]1[cH:10][c:9]([c:4]2[cH:3][cH:2]1)[cH:8][cH:7][cH:6][n:5]2.[CH3:11][CH2:12][O:13][C:14]([c:16]1[c:20]([OH:21])[n:19][nH:18][cH:17]1)=[O:15]>>[CH3:11][CH2:12][O:13][C:14]([c:16]1[c:20]([OH:21])[n:19][n:18]([c:1]2[cH:10][c:9]([c:4]3[cH:3][cH:2]2)[cH:8][cH:7][cH:6][n:5]3)[cH:17]1)=[O:15],PF-07036396,CCOC(=O)c1cn(nc1O)c2ccc3ncccc3c2,0,225.0,0.0,,t-AmOH,90.0,18.0,0.125,MFCD00012453,C(O[Pd]OC(C)=O)(C)=O,MFCD06798301,c1(n(c2c(OC)cccc2)ccc1)P(C(C)(C)C)C(C)(C)C,Pd(OAc)2,0.25,MFCD06798301,c1(n(c2c(OC)cccc2)ccc1)P(C(C)(C)C)C(C)(C)C,,,Pd(OAc)2/cataCXium POMetB,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,,MFCD00024023,c12c(ccc(c1)Br)nccc2,,,,3.0,MFCD00036295,K3PO4,,,,0__PF-01041290__MFCD00024023__
38544,Pd coupling,SCRN_100,00119131-2462,RKB-03773623,BUCHWALD,Metal Mediated,[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][nH:8][cH:7]1)=[O:5].Br[c:12]1[cH:21][c:20]([c:15]2[cH:14][cH:13]1)[cH:19][cH:18][cH:17][n:16]2>>[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][n:8]([c:12]2[cH:21][c:20]([c:15]3[cH:14][cH:13]2)[cH:19][cH:18][cH:17][n:16]3)[cH:7]1)=[O:5],PF-07036396,CCOC(=O)c1cn(nc1O)c2ccc3ncccc3c2,0,225.0,0.0,,t-AmOH,90.0,18.0,0.125,MFCD00012453,C(O[Pd]OC(C)=O)(C)=O,MFCD05861606,P([C@]12C[C@@H]3C[C@H](C2)C[C@@H](C1)C3)([C@]12C[C@@H]3C[C@@H](C2)C[C@@H](C1)C3)CCCC,Pd(OAc)2,0.25,MFCD05861606,P([C@]12C[C@@H]3C[C@H](C2)C[C@@H](C1)C3)([C@]12C[C@@H]3C[C@@H](C2)C[C@@H](C1)C3)CCCC,,,Pd(OAc)2/cataCXium A,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,,MFCD00024023,c12c(ccc(c1)Br)nccc2,,,,3.0,MFCD00036295,K3PO4,,,,0__PF-01041290__MFCD00024023__
38545,Pd coupling,SCRN_100,00119131-2462,RKB-03773624,BUCHWALD,Metal Mediated,[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][nH:8][cH:7]1)=[O:5].Br[c:12]1[cH:21][c:20]([c:15]2[cH:14][cH:13]1)[cH:19][cH:18][cH:17][n:16]2>>[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][n:8]([c:12]2[cH:21][c:20]([c:15]3[cH:14][cH:13]2)[cH:19][cH:18][cH:17][n:16]3)[cH:7]1)=[O:5],PF-07036396,CCOC(=O)c1cn(nc1O)c2ccc3ncccc3c2,0,225.0,0.0,,t-AmOH,90.0,18.0,0.125,MFCD00012453,C(O[Pd]OC(C)=O)(C)=O,MFCD04117682,c1(c2c(P(C3CCCCC3)C3CCCCC3)cccc2)c(cc(cc1C(C)C)C(C)C)C(C)C,Pd(OAc)2,0.25,MFCD04117682,c1(c2c(P(C3CCCCC3)C3CCCCC3)cccc2)c(cc(cc1C(C)C)C(C)C)C(C)C,,,Pd(OAc)2/XPhos,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,,MFCD00024023,c12c(ccc(c1)Br)nccc2,,,,3.0,MFCD00036295,K3PO4,,,,0__PF-01041290__MFCD00024023__
38546,Pd coupling,SCRN_100,00119131-2462,RKB-03773625,BUCHWALD,Metal Mediated,Br[c:1]1[cH:10][c:9]([c:4]2[cH:3][cH:2]1)[cH:8][cH:7][cH:6][n:5]2.[CH3:11][CH2:12][O:13][C:14]([c:16]1[c:20]([OH:21])[n:19][nH:18][cH:17]1)=[O:15]>>[CH3:11][CH2:12][O:13][C:14]([c:16]1[c:20]([OH:21])[n:19][n:18]([c:1]2[cH:10][c:9]([c:4]3[cH:3][cH:2]2)[cH:8][cH:7][cH:6][n:5]3)[cH:17]1)=[O:15],PF-07036396,CCOC(=O)c1cn(nc1O)c2ccc3ncccc3c2,0,225.0,0.0,,t-AmOH,90.0,18.0,0.125,MFCD00012453,C(O[Pd]OC(C)=O)(C)=O,MFCD09038440,c1(n2c(P(C(C)(C)C)C(C)(C)C)ccn2)c(n(nc1c1ccccc1)c1ccccc1)c1ccccc1,Pd(OAc)2,0.25,MFCD09038440,c1(n2c(P(C(C)(C)C)C(C)(C)C)ccn2)c(n(nc1c1ccccc1)c1ccccc1)c1ccccc1,,,Pd(OAc)2/BiPyPhos,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,,MFCD00024023,c12c(ccc(c1)Br)nccc2,,,,3.0,MFCD00036295,K3PO4,,,,0__PF-01041290__MFCD00024023__
38547,Pd coupling,SCRN_100,00119131-2462,RKB-03773626,BUCHWALD,Metal Mediated,[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][nH:8][cH:7]1)=[O:5].Br[c:12]1[cH:21][c:20]([c:15]2[cH:14][cH:13]1)[cH:19][cH:18][cH:17][n:16]2>>[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][n:8]([c:12]2[cH:21][c:20]([c:15]3[cH:14][cH:13]2)[cH:19][cH:18][cH:17][n:16]3)[cH:7]1)=[O:5],PF-07036396,CCOC(=O)c1cn(nc1O)c2ccc3ncccc3c2,0,225.0,0.0,,t-AmOH,90.0,18.0,0.125,MFCD00012453,C(O[Pd]OC(C)=O)(C)=O,MFCD08543435,[Fe].C1CCC(C1[C@@H](C)P(C(C)(C)C)C(C)(C)C)P(C1CCCCC1)C1CCCCC1.C1CCCC1,Pd(OAc)2,0.25,MFCD08543435,[Fe].C1CCC(C1[C@@H](C)P(C(C)(C)C)C(C)(C)C)P(C1CCCCC1)C1CCCCC1.C1CCCC1,,,Pd(OAc)2/R-Josiphos SL-J009-1,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,,MFCD00024023,c12c(ccc(c1)Br)nccc2,,,,3.0,MFCD00036295,K3PO4,,,,0__PF-01041290__MFCD00024023__
38548,Pd coupling,SCRN_100,00119131-2462,RKB-03773627,BUCHWALD,Metal Mediated,[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][nH:8][cH:7]1)=[O:5].Br[c:12]1[cH:21][c:20]([c:15]2[cH:14][cH:13]1)[cH:19][cH:18][cH:17][n:16]2>>[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][n:8]([c:12]2[cH:21][c:20]([c:15]3[cH:14][cH:13]2)[cH:19][cH:18][cH:17][n:16]3)[cH:7]1)=[O:5],PF-07036396,CCOC(=O)c1cn(nc1O)c2ccc3ncccc3c2,0,225.0,0.0,,t-AmOH,90.0,18.0,0.125,MFCD00012453,C(O[Pd]OC(C)=O)(C)=O,MFCD00010805,c1(c2c(P(c3ccccc3)c3ccccc3)ccc3c2cccc3)c(P(c2ccccc2)c2ccccc2)ccc2c1cccc2,Pd(OAc)2,0.25,MFCD00010805,c1(c2c(P(c3ccccc3)c3ccccc3)ccc3c2cccc3)c(P(c2ccccc2)c2ccccc2)ccc2c1cccc2,,,Pd(OAc)2/BINAP,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,,MFCD00024023,c12c(ccc(c1)Br)nccc2,,,,3.0,MFCD00036295,K3PO4,,,,0__PF-01041290__MFCD00024023__
38549,Pd coupling,SCRN_100,00119131-2462,RKB-03773628,BUCHWALD,Metal Mediated,Br[c:1]1[cH:10][c:9]([c:4]2[cH:3][cH:2]1)[cH:8][cH:7][cH:6][n:5]2.[CH3:11][CH2:12][O:13][C:14]([c:16]1[c:20]([OH:21])[n:19][nH:18][cH:17]1)=[O:15]>>[CH3:11][CH2:12][O:13][C:14]([c:16]1[c:20]([OH:21])[n:19][n:18]([c:1]2[cH:10][c:9]([c:4]3[cH:3][cH:2]2)[cH:8][cH:7][cH:6][n:5]3)[cH:17]1)=[O:15],PF-07036396,CCOC(=O)c1cn(nc1O)c2ccc3ncccc3c2,0,225.0,0.0,,t-AmOH,90.0,18.0,,,,MFCD05861622,C1(C(CCC1)[Pd]Cl)CN(C)C.P(C1[C@H]2C[C@@H](C1)CC2)C1[C@@H]2C[C@H](C1)CC2.C1CCCC1.[Fe],,0.125,MFCD05861622,C1(C(CCC1)[Pd]Cl)CN(C)C.P(C1[C@H]2C[C@@H](C1)CC2)C1[C@@H]2C[C@H](C1)CC2.C1CCCC1.[Fe],,,SK-CC02-A,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,,MFCD00024023,c12c(ccc(c1)Br)nccc2,,,,3.0,MFCD00036295,K3PO4,,,,0__PF-01041290__MFCD00024023__
38550,Pd coupling,SCRN_100,00119131-2462,RKB-03773629,BUCHWALD,Metal Mediated,[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][nH:8][cH:7]1)=[O:5].Br[c:12]1[cH:21][c:20]([c:15]2[cH:14][cH:13]1)[cH:19][cH:18][cH:17][n:16]2>>[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][n:8]([c:12]2[cH:21][c:20]([c:15]3[cH:14][cH:13]2)[cH:19][cH:18][cH:17][n:16]3)[cH:7]1)=[O:5],PF-07036396,CCOC(=O)c1cn(nc1O)c2ccc3ncccc3c2,0,225.0,0.0,,Toluene,90.0,18.0,,,,,,,0.125,46-0388,,,,Xantphos Pd G4,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,,MFCD00024023,c12c(ccc(c1)Br)nccc2,,,,3.0,MFCD00050479,LiOBut,,,,0__PF-01041290__MFCD00024023__
38551,Pd coupling,SCRN_100,00119131-2462,RKB-03773630,BUCHWALD,Metal Mediated,Br[c:1]1[cH:10][c:9]([c:4]2[cH:3][cH:2]1)[cH:8][cH:7][cH:6][n:5]2.[CH3:11][CH2:12][O:13][C:14]([c:16]1[c:20]([OH:21])[n:19][nH:18][cH:17]1)=[O:15]>>[CH3:11][CH2:12][O:13][C:14]([c:16]1[c:20]([OH:21])[n:19][n:18]([c:1]2[cH:10][c:9]([c:4]3[cH:3][cH:2]2)[cH:8][cH:7][cH:6][n:5]3)[cH:17]1)=[O:15],PF-07036396,CCOC(=O)c1cn(nc1O)c2ccc3ncccc3c2,0,225.0,0.0,,Dioxane,90.0,18.0,0.125,MFCD00012453,C(O[Pd]OC(C)=O)(C)=O,MFCD06798301,c1(n(c2c(OC)cccc2)ccc1)P(C(C)(C)C)C(C)(C)C,Pd(OAc)2,0.25,MFCD06798301,c1(n(c2c(OC)cccc2)ccc1)P(C(C)(C)C)C(C)(C)C,,,Pd(OAc)2/cataCXium POMetB,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,,MFCD00024023,c12c(ccc(c1)Br)nccc2,,,,3.0,MFCD00010957,Cs2CO3,,,,0__PF-01041290__MFCD00024023__
38552,Pd coupling,SCRN_100,00119131-2462,RKB-03773631,BUCHWALD,Metal Mediated,[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][nH:8][cH:7]1)=[O:5].Br[c:12]1[cH:21][c:20]([c:15]2[cH:14][cH:13]1)[cH:19][cH:18][cH:17][n:16]2>>[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][n:8]([c:12]2[cH:21][c:20]([c:15]3[cH:14][cH:13]2)[cH:19][cH:18][cH:17][n:16]3)[cH:7]1)=[O:5],PF-07036396,CCOC(=O)c1cn(nc1O)c2ccc3ncccc3c2,0,225.0,0.0,,Dioxane,90.0,18.0,0.125,MFCD00012453,C(O[Pd]OC(C)=O)(C)=O,MFCD05861606,P([C@]12C[C@@H]3C[C@H](C2)C[C@@H](C1)C3)([C@]12C[C@@H]3C[C@@H](C2)C[C@@H](C1)C3)CCCC,Pd(OAc)2,0.25,MFCD05861606,P([C@]12C[C@@H]3C[C@H](C2)C[C@@H](C1)C3)([C@]12C[C@@H]3C[C@@H](C2)C[C@@H](C1)C3)CCCC,,,Pd(OAc)2/cataCXium A,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,,MFCD00024023,c12c(ccc(c1)Br)nccc2,,,,3.0,MFCD00010957,Cs2CO3,,,,0__PF-01041290__MFCD00024023__
38553,Pd coupling,SCRN_100,00119131-2462,RKB-03773632,BUCHWALD,Metal Mediated,[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][nH:8][cH:7]1)=[O:5].Br[c:12]1[cH:21][c:20]([c:15]2[cH:14][cH:13]1)[cH:19][cH:18][cH:17][n:16]2>>[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][n:8]([c:12]2[cH:21][c:20]([c:15]3[cH:14][cH:13]2)[cH:19][cH:18][cH:17][n:16]3)[cH:7]1)=[O:5],PF-07036396,CCOC(=O)c1cn(nc1O)c2ccc3ncccc3c2,0,225.0,0.0,,Dioxane,90.0,18.0,0.125,MFCD00012453,C(O[Pd]OC(C)=O)(C)=O,MFCD04117682,c1(c2c(P(C3CCCCC3)C3CCCCC3)cccc2)c(cc(cc1C(C)C)C(C)C)C(C)C,Pd(OAc)2,0.25,MFCD04117682,c1(c2c(P(C3CCCCC3)C3CCCCC3)cccc2)c(cc(cc1C(C)C)C(C)C)C(C)C,,,Pd(OAc)2/XPhos,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,,MFCD00024023,c12c(ccc(c1)Br)nccc2,,,,3.0,MFCD00010957,Cs2CO3,,,,0__PF-01041290__MFCD00024023__
38554,Pd coupling,SCRN_100,00119131-2462,RKB-03773633,BUCHWALD,Metal Mediated,Br[c:1]1[cH:10][c:9]([c:4]2[cH:3][cH:2]1)[cH:8][cH:7][cH:6][n:5]2.[CH3:11][CH2:12][O:13][C:14]([c:16]1[c:20]([OH:21])[n:19][nH:18][cH:17]1)=[O:15]>>[CH3:11][CH2:12][O:13][C:14]([c:16]1[c:20]([OH:21])[n:19][n:18]([c:1]2[cH:10][c:9]([c:4]3[cH:3][cH:2]2)[cH:8][cH:7][cH:6][n:5]3)[cH:17]1)=[O:15],PF-07036396,CCOC(=O)c1cn(nc1O)c2ccc3ncccc3c2,0,225.0,0.0,,Dioxane,90.0,18.0,0.125,MFCD00012453,C(O[Pd]OC(C)=O)(C)=O,MFCD09038440,c1(n2c(P(C(C)(C)C)C(C)(C)C)ccn2)c(n(nc1c1ccccc1)c1ccccc1)c1ccccc1,Pd(OAc)2,0.25,MFCD09038440,c1(n2c(P(C(C)(C)C)C(C)(C)C)ccn2)c(n(nc1c1ccccc1)c1ccccc1)c1ccccc1,,,Pd(OAc)2/BiPyPhos,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,,MFCD00024023,c12c(ccc(c1)Br)nccc2,,,,3.0,MFCD00010957,Cs2CO3,,,,0__PF-01041290__MFCD00024023__
38555,Pd coupling,SCRN_100,00119131-2462,RKB-03773634,BUCHWALD,Metal Mediated,[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][nH:8][cH:7]1)=[O:5].Br[c:12]1[cH:21][c:20]([c:15]2[cH:14][cH:13]1)[cH:19][cH:18][cH:17][n:16]2>>[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][n:8]([c:12]2[cH:21][c:20]([c:15]3[cH:14][cH:13]2)[cH:19][cH:18][cH:17][n:16]3)[cH:7]1)=[O:5],PF-07036396,CCOC(=O)c1cn(nc1O)c2ccc3ncccc3c2,0,225.0,0.0,,Dioxane,90.0,18.0,,,,MFCD05861622,C1(C(CCC1)[Pd]Cl)CN(C)C.P(C1[C@H]2C[C@@H](C1)CC2)C1[C@@H]2C[C@H](C1)CC2.C1CCCC1.[Fe],,0.125,MFCD05861622,C1(C(CCC1)[Pd]Cl)CN(C)C.P(C1[C@H]2C[C@@H](C1)CC2)C1[C@@H]2C[C@H](C1)CC2.C1CCCC1.[Fe],,,SK-CC02-A,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,,MFCD00024023,c12c(ccc(c1)Br)nccc2,,,,3.0,MFCD00010957,Cs2CO3,,,,0__PF-01041290__MFCD00024023__
38556,Pd coupling,SCRN_100,00119131-2462,RKB-03773635,BUCHWALD,Metal Mediated,[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][nH:8][cH:7]1)=[O:5].Br[c:12]1[cH:21][c:20]([c:15]2[cH:14][cH:13]1)[cH:19][cH:18][cH:17][n:16]2>>[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][n:8]([c:12]2[cH:21][c:20]([c:15]3[cH:14][cH:13]2)[cH:19][cH:18][cH:17][n:16]3)[cH:7]1)=[O:5],PF-07036396,CCOC(=O)c1cn(nc1O)c2ccc3ncccc3c2,0,225.0,0.0,,Dioxane,90.0,18.0,0.125,MFCD00012453,C(O[Pd]OC(C)=O)(C)=O,MFCD00010805,c1(c2c(P(c3ccccc3)c3ccccc3)ccc3c2cccc3)c(P(c2ccccc2)c2ccccc2)ccc2c1cccc2,Pd(OAc)2,0.25,MFCD00010805,c1(c2c(P(c3ccccc3)c3ccccc3)ccc3c2cccc3)c(P(c2ccccc2)c2ccccc2)ccc2c1cccc2,,,Pd(OAc)2/BINAP,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,,MFCD00024023,c12c(ccc(c1)Br)nccc2,,,,3.0,MFCD00010957,Cs2CO3,,,,0__PF-01041290__MFCD00024023__
38557,Pd coupling,SCRN_100,00119131-2462,RKB-03773636,BUCHWALD,Metal Mediated,Br[c:1]1[cH:10][c:9]([c:4]2[cH:3][cH:2]1)[cH:8][cH:7][cH:6][n:5]2.[CH3:11][CH2:12][O:13][C:14]([c:16]1[c:20]([OH:21])[n:19][nH:18][cH:17]1)=[O:15]>>[CH3:11][CH2:12][O:13][C:14]([c:16]1[c:20]([OH:21])[n:19][n:18]([c:1]2[cH:10][c:9]([c:4]3[cH:3][cH:2]2)[cH:8][cH:7][cH:6][n:5]3)[cH:17]1)=[O:15],PF-07036396,CCOC(=O)c1cn(nc1O)c2ccc3ncccc3c2,0,225.0,0.0,,Dioxane,90.0,18.0,0.125,MFCD00012453,C(O[Pd]OC(C)=O)(C)=O,MFCD08543435,[Fe].C1CCC(C1[C@@H](C)P(C(C)(C)C)C(C)(C)C)P(C1CCCCC1)C1CCCCC1.C1CCCC1,Pd(OAc)2,0.25,MFCD08543435,[Fe].C1CCC(C1[C@@H](C)P(C(C)(C)C)C(C)(C)C)P(C1CCCCC1)C1CCCCC1.C1CCCC1,,,Pd(OAc)2/R-Josiphos SL-J009-1,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,,MFCD00024023,c12c(ccc(c1)Br)nccc2,,,,3.0,MFCD00010957,Cs2CO3,,,,0__PF-01041290__MFCD00024023__
38558,Pd coupling,SCRN_100,00119131-2462,RKB-03773637,BUCHWALD,Metal Mediated,[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][nH:8][cH:7]1)=[O:5].Br[c:12]1[cH:21][c:20]([c:15]2[cH:14][cH:13]1)[cH:19][cH:18][cH:17][n:16]2>>[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][n:8]([c:12]2[cH:21][c:20]([c:15]3[cH:14][cH:13]2)[cH:19][cH:18][cH:17][n:16]3)[cH:7]1)=[O:5],PF-07036396,CCOC(=O)c1cn(nc1O)c2ccc3ncccc3c2,0,225.0,0.0,,Dioxane,90.0,18.0,,,,MFCD03094580,[Pd].C(P(C(C)(C)C)C(C)(C)C)(C)(C)C.C(P(C(C)(C)C)C(C)(C)C)(C)(C)C,,0.125,MFCD03094580,[Pd].C(P(C(C)(C)C)C(C)(C)C)(C)(C)C.C(P(C(C)(C)C)C(C)(C)C)(C)(C)C,,,Pd(P(tBu)3)2,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,,MFCD00024023,c12c(ccc(c1)Br)nccc2,,,,3.0,MFCD00010957,Cs2CO3,,,,0__PF-01041290__MFCD00024023__
38559,Pd coupling,SCRN_100,00119131-2462,RKB-03773638,BUCHWALD,Metal Mediated,[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][nH:8][cH:7]1)=[O:5].Br[c:12]1[cH:21][c:20]([c:15]2[cH:14][cH:13]1)[cH:19][cH:18][cH:17][n:16]2>>[CH3:1][CH2:2][O:3][C:4]([c:6]1[c:10]([OH:11])[n:9][n:8]([c:12]2[cH:21][c:20]([c:15]3[cH:14][cH:13]2)[cH:19][cH:18][cH:17][n:16]3)[cH:7]1)=[O:5],PF-07036396,CCOC(=O)c1cn(nc1O)c2ccc3ncccc3c2,0,225.0,0.0,,Dioxane,90.0,18.0,,,,MFCD22572666,c1(c(c(ccc1OC)OC)P(C1CCCCC1)C1CCCCC1)c1c(cc(cc1C(C)C)C(C)C)C(C)C.c1(ccccc1c1ccccc1N)[Pd+].[O-]S(C)(=O)=O,,0.125,MFCD22572666,c1(c(c(ccc1OC)OC)P(C1CCCCC1)C1CCCCC1)c1c(cc(cc1C(C)C)C(C)C)C(C)C.c1(ccccc1c1ccccc1N)[Pd+].[O-]S(C)(=O)=O,,,3G OMs BrettPhos,1.0,PF-01041290,c1(c(n[nH]c1)O)C(OCC)=O,,MFCD00024023,c12c(ccc(c1)Br)nccc2,,,,3.0,MFCD00010957,Cs2CO3,,,,0__PF-01041290__MFCD00024023__
